event-id,visible,timestamp,location-long,location-lat,argos:best-level,argos:calcul-freq,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
8393337886,true,2001-03-31 23:42:52.000,-111.38499999999999,26.751,-129.0,648012.12,"0",26.751,27.969,"B",-111.385,-105.638,2,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337887,true,2001-04-03 15:52:19.000,-111.209,25.672,-131.0,648012.12,"0",25.672,30.418,"B",-111.209,-134.238,2,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337888,true,2001-04-03 23:08:19.000,-111.094,26.074,-131.0,648042.31,"0",26.074,31.212,"A",-111.094,-88.085,3,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337889,true,2001-04-05 02:41:32.000,-111.08499999999998,26.051,-125.0,648042.31,"0",26.051,24.738,"B",-111.085,-117.295,2,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337890,true,2001-04-08 15:40:56.000,-111.30000000000001,26.152,-130.0,648042.31,"0",26.152,29.465,"B",-111.3,-127.429,2,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337891,true,2001-04-11 02:04:54.000,-111.28800000000001,25.769,-133.0,648042.31,"0",25.769,28.184,"B",-111.288,-99.702,2,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337892,true,2001-04-12 15:47:54.000,-111.394,26.118,-125.0,648042.31,"0",26.118,30.379,"B",-111.394,-131.913,2,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337893,true,2001-04-14 12:52:48.000,-112.15199999999999,26.342,-130.0,648042.31,"0",26.342,26.584,"B",-112.152,-113.324,2,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337894,true,2001-04-15 02:14:34.000,-111.05700000000002,26.149,-130.0,648003.0,"0",26.149,27.557,"A",-111.057,-104.414,3,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337895,true,2001-04-17 15:33:29.000,-111.511,25.678,-138.0,648003.12,"0",25.678,27.807,"B",-111.511,-125.109,2,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337896,true,2001-04-18 02:51:35.000,-110.74200000000002,26.009,-126.0,648003.12,"0",26.009,23.014,"B",-110.742,-120.832,2,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
8393337897,true,2001-04-18 15:11:46.000,-111.55099999999999,26.141,-122.0,648057.31,"50",26.141,26.733,"0",-111.551,-114.382,6,0,"argos-doppler-shift","Balaenoptera physalus","2001MX-ST15-00830","2001MX-Bph-00830","Fin whales Gulf of California 2001 - Argos Data"
