type	latitude	longitude	name	
T	32.743819000	-117.133201000		
T	32.743758000	-117.133067000		
T	32.743729000	-117.132941000		
T	32.743733000	-117.132816000		
T	32.743720000	-117.132779000		
T	32.743738000	-117.132805000		
T	32.743760000	-117.132832000		
T	32.743764000	-117.132876000		
T	32.743762000	-117.132896000		
T	32.743764000	-117.132918000		
T	32.743752000	-117.132940000		
T	32.743729000	-117.132952000		
T	32.743705000	-117.132958000		
T	32.743685000	-117.132961000		
T	32.743666000	-117.132958000		
T	32.743648000	-117.132958000		
T	32.743629000	-117.132959000		
T	32.743607000	-117.132958000		
T	32.743590000	-117.132956000		
T	32.743571000	-117.132944000		
T	32.743553000	-117.132935000		
T	32.743532000	-117.132933000		
T	32.743505000	-117.132941000		
T	32.743473000	-117.132948000		
T	32.743439000	-117.132951000		
T	32.743407000	-117.132952000		
T	32.743382000	-117.132952000		
T	32.743359000	-117.132954000		
T	32.743337000	-117.132952000		
T	32.743314000	-117.132952000		
T	32.743287000	-117.132957000		
T	32.743260000	-117.132962000		
T	32.743234000	-117.132957000		
T	32.743213000	-117.132941000		
T	32.743195000	-117.132925000		
T	32.743178000	-117.132916000		
T	32.743159000	-117.132917000		
T	32.743137000	-117.132922000		
T	32.743116000	-117.132925000		
T	32.743097000	-117.132926000		
T	32.743077000	-117.132923000		
T	32.743091000	-117.132914000		
T	32.743098000	-117.132900000		
T	32.743106000	-117.132892000		
T	32.743109000	-117.132875000		
T	32.743112000	-117.132855000		
T	32.743115000	-117.132832000		
T	32.743116000	-117.132812000		
T	32.743114000	-117.132792000		
T	32.743110000	-117.132772000		
T	32.743101000	-117.132747000		
T	32.743087000	-117.132729000		
T	32.743063000	-117.132713000		
T	32.743038000	-117.132704000		
T	32.743020000	-117.132705000		
T	32.743004000	-117.132709000		
T	32.742982000	-117.132712000		
T	32.742962000	-117.132714000		
T	32.742940000	-117.132715000		
T	32.742913000	-117.132715000		
T	32.742884000	-117.132717000		
T	32.742856000	-117.132720000		
T	32.742832000	-117.132721000		
T	32.742810000	-117.132720000		
