company Name,Question
BrownBrothersHarriman, How far apart is the hour and minute hand a 3:15?
Masco," Tell us about a time you worked in a diverse team, describe the task and the outcome."
TacoBell," What accounting softwares do you know? Are you familiar with Mas90? If not, do you think you can learn quickly and be able to come up to speed with our current projects?"
ZodiacInflightInnovations, With the HR Staff: Tell me about when you worked on a difficult situation. How would you describe your excel skills? During the in-person interview: What was the most difficult project that you took in? Tell me about a time when you persuaded someone. Write step-by-step the journal entries in an inventory cycle.
CoreLaboratories, How do you deal with difficult people? 
ConocoPhillips, How have you used microsoft excel in to help solve a problem.
Kearney&Company, Name the 4 most important financial statements and their uses.
EY," Imagine you make a very complicated calculation in excel for a client who is going to make a decision. After you reviewed it a couple of times you notice you are going to save the client $10 million in taxes. You give it to your senior and your partner, who review your work. They agree on your calculation and tell the client about the tax savings and the meeting to finalize the transaction is tomorrow. It's 9 o'clock at night and you are finalizing the paperwork, and you suddenly realize you made a careless mistake on excel and instead of putting a minus, you put a plus, so the client is not going to save $10 million, but is going to owe $10 million. What do you do? How do you handle the situation?"
WilliamsOvermanPierce, How did you handle a group member who didnt pull their weight?
ClarkSchaeferHackett," When you're under a lot of pressure and tight deadlines, how do you manage your stress level?"
CornerstoneHealthcareGroup, What's the accounting equation? It wasn't difficult but it was unexpected and resulted in me having to ponder for several seconds to recall the information to mind
WallEinhorn&Chernitzer, Why did you decide to go into accounting?
ArrowElectronics, What is an accrual?
CityofSalemOregon, The most unexpected question I was asked was who is your customer?
CityofSalemOregon, How would you proceed to perform a duty you have never done before?
Houzz, How would you go about solving a complex problem that you didn't know how to do?
CPAPServices, What skills do you possess that you feel qualify you for this position? (Regards to accounting position.)
ConEdison, Describe a time when you were pulled in many directions.
ORBA, How do you respond to stress?
BNYMellon, What is a mutual fund?
CSUStanislaus, How do you deal with conflict?
NavyFederalCreditUnion," Only one off the wall question: ""What is your favorite FASB pronouncement and why?"" I wasn't prepared for this one, but it didn't seem to have a negative impact on my interview."
NorthCarolinaStateUniversity, What types of accounting actions have you performed in the past?
Facebook," Write a C function to define strstr(char *haystack, char * needle) to return the first occurrence of needle in haystack. Code must compile and execute."
Autodesk, Do you like working long hours?
Lacoste, Are you good at excel? Do you know how to use quick book?
DefenseFinanceandAccountingService, Where do you see yourself in 5 years.
AdvantageResourcing, What analytical skill sets do you have?
CrownLaboratories, Tell us about a time when you made a bad decision and how you rectified it
JackHenry&Associates, Describe your role at your most recent employer.
RaymondJamesFinancial," What is your biggest career regret, and what steps are you willing to take to resolve it?"
Fastenal, What are your 5 year goals?
Fastenal, What are your 10 year goals?
Missionwell, What can help you
Domino's, How would you change your way of communicating to an older audience/ staff/
KodiakRealtyServices, What significant contribution have you made in the past with your previous employer?
"alliantgroup,LP", what skills can you bring to alliantgroup?
Lee'sSandwiches, What do you wan to do for your future career.
Lee'sSandwiches, Tell me about yourself.
Lee'sSandwiches, Do you play sports?
Genentech, Asked a little about past experiences.
Genentech, HR person asked a lot of questions about soft skills.
Kforce, What are you looking for in a salary? 
EY, How do you deal with problems.
WestmarkIndustries, Did I know Cost Accounting? Was I familiar with Workman's Comp? In what job did I feel the most satisfaction.
Novelis, Can you describe some T-Codes in SAP?
ChesapeakeMedicalProducts, This job will only require about 16 hours per week. Are you sure a part-time job is what you're looking for?
AffiliatedComputerServices," The most unexpected question that I have ever had from this company was not for the position mentioned above. The question was, ""Why are man hole covers round?""."
ASYADesignPartner, just confirm all uv written.
StateStreet, What's the difference between Stocks and Mutual Funds. 
ADP, How many golf balls does it take to fill something up? 
CornerstoneOnDemand, Do you have experience working for a SaaS company?
DISH, There are a lot of assessments. 
Calpine, If I was prepared to immediately step in and contribute to the team projects.
Calpine, Would I be willing to relocate/travel.
MossAdamsLLP," Each partner seemed to ask about preference between tax or audit and other standard interview questions. However, one of the partners did ask which winery was my favorite in the area."
AmalgamatedBank, Did I have a degree
StateStreet, Can you just call a person up? 
AlliedOrionGroup, Do you know how to do a bank reconciliation?
RemingtonCollege," Accruals, other accounting related questions. Took 2 tests. One the interviewer developed. The other was the Wonderlic test."
UniGroup, What contributions can you bring to the organization that will enhance our financial goals.
WindmillPropane, Asked if I was organized in my work process
Quiksilver, Are you prepared to work side by side with a well diveresed mix of personalties?
Quiksilver, Can you work under high pressure stressful business situations?
KoontzWagner, What I felt the primary job responsibility would be.
PFSweb," Asked me questions off my resume, and accounting knowledge."
SpiritAeroSystems, They asked me what accounts would I hit if I were to book a journal entry for sales.
SuperiorExtrusion, Describe a time in which you were creative
PHHMortgage, Are you familiar with Fidelity?
StateStreet, What is a NAV
VinotempInternational, Brief introduction about yourself
AptinaImaging, Please describe what you do outside of work.
Siemens, What are your expectations for working here at Siemens?
Siemens, You said that you're taking summer classes. Do you think that will interfere with your ability to work here?
KennedyValve, Why are you relocating?
JLL," None really. They will ask you about driving change and improving processes, this is what they're looking to hear. "
OppenheimerHoldings, How will you in fit in with our culture?
GMRMarketing, Basic boring...what do you see yourself doing in 5 years. What is you experience with software? What do co-workers say about you? Do you have references?
GambroAB, Why would you want to work here?
Crowe, Tell me about yourself.
Crowe, Accounting experience.
Mobilitie, Can you work 8-5?
EY, How can you bring creativity to your career in accounting. 
RoedlLangforddeKock, Name two M-1 items on a corporate tax return.
UrbanConstructionCompany, How much did you make in your previous job? 
PwC, What do you know about our company.
REthinkCRM, How would you describe your approach to introducing design thinking to an agile environment?
CorporateServicesConsultants, Ever work in customer service?
Forever21, Is it it necessary for you to be friends with the people you work with?
PaulScherer&Co, When I was asked to submit a writing sample?
CostcoWholesale, Give an example of your best and worst co-workers.
FloridaBlue," If you had to use 5 words to describe yourself, what would they be? Give examples of each."
FloridaBlue, What is the thing that frustrates you the most about work in general? Give examples.
AnchinBlock&Anchin," 1) Tell me about yourself 2) Why is your GPA not on here? 3) Why our company? Why not a larger firm/small firm? 4) Do you like working in teams or independently? 5) What do you think about evaluations/constructive criticism/montly reviews? 6) Where do you see yourself in 5-10 years? 7) Tell me about a time you had to work in group 8) What did you do when you were proposed with a difficult situation, and how did you handle it? 9) What do you do when you disagree with a team member? 10) Why public accounting and not private accounting?"
UnitedHealthGroup, Why are you looking for a Job?
WaypointContracting, what experiences will I bring to the company?
WaypointContracting, What am I looking for in a company?
U.S.Bank, What Makes you Amazing?
UniversityofIllinoisatUrbana-Champaign," Your background, your technical experience and your personality"
AltfillischContractors, Am I open to further training?
ProgressiveInsurance," Situations dealing with stress, dealing with deadlines, coworkers you don't get along with, etc."
USDepartmentofTreasury," ""How would you handle a hostile caller?"""
DiplomaticLanguageServices, What job did you like the best?
Telispire, Why accounting
"RadwanBrownandAssociates,CPAs", Why are looking to move to public accounting?
ElectroRent, Why you want to work in Electro Rent?
E&CEnterprises, Taking the accounting knowledge test was unexpected.
