company Name,Question
BestBuy," If you don't know anything about the cell phone, tablet (ect) the customer is talking about what do you do?"
SCIEX, What are some sources for identifying/building a talent pool?
Sprint, Sell me this paper clip (or any other various object they may have)
IrvineCompany, What is the sales process.
PNCFinancialServicesGroup," conflict customer service question. Give a time where you disagreed with a customer, where they escalated the problem or concern. What was the conflict? How did you resolve the solution? What could you have done better?"
Sprint," An old man and a younger person come in at the same time, who would you help first?"
TheOutpostApartmentsWaco," Outside of standard marketing (Handing out fliers, providing tours), what method or technique would you use to draw attention to the company and bring in prospective residents?"
ComputerFuturesSolutions, Tell me about your experience in sales?
CNA, Discuss experiences with conflict resolution.
JeffersonWellsInternational," Do you know ERP solutions? If so, what is your experience in implementing and/or auditing them. "
BuffaloWildWings, Have you ever been asked to do anything that you morally had an issue with? 
OpusCareerManagement, Do you have any issues with cold calling?
CamdenPropertyTrust, Give me a time when you dealt with an upset resident or customer and how did you overcome? 
Facebook, Write some pseudo code to raise a number to a power.
Epic," You have a bouquet of flowers. All but two are roses, all but two are daisies, and all but two are tulips. How many flowers do you have?"
Bain&Company, Estimate how many windows are in New York
KaiserAssociates, How many passengers leave JFK airport on a given day. 
Epic, How many minutes before 5pm is it if 30 mins ago it was four times as many minutes after 3pm?
Google, you are on a biz trip and travelling from one city to another. you have a stack of unsorted flight boarding passes. only departure city and destination city are on the boarding pass. how do you find the first departure city and your final destination city
SinglePlatform," If there was a movie produced about your life, who would play you, and why?"
ManhattanAssociates, A snail moves up a 5m long tree as follows: 1) he goes up 3m in the morning and 2) he goes down 2m at night. How long will it take him to reach the top of the 5m tree?
Epic," There are three buckets, one with apples, one with oranges, and one with a mixture of both. They are all labeled wrong. You can pick one piece of fruit from one bucket, what would you pick to determine what is in all three buckets? "
Bain&Company, What is the exact angle formed by the hands on a clock when the time reads 9:30?
HCLTechnologies, What is a class?
"CambridgeAssociates,LLC", How many baseball's can you fit on a 747?
Epic," An apple costs 40 cents, a banana costs 60 cents, and grapefruit costs 80 cents. Under the same circumstances, how much does a pear cost?"
Apple, A man calls in and has an older computer that is essentially a brick. What do you do? 
Appirio," Is the Salesforce.com/Force.com platform a ""relational database""?"
SpotOn, Just be able to explain example of your sales success. They will bring you on regardless as a contractor before being offered full time employment. They are looking for as many bodies as possible for market penetration whether you are qualified or not.
NorwegianCruiseLine, How did you hear about us?
LibertyMutualInsurance, How many people can you fit into texas?
Capgemini," If you were project manager and you and your team finished the project under budget, and had to decide what to do with the rest of the money left over, would you: Divide the money with your team equally Keep it Divide the money with your team with level of contribution and rank being the ones who receive the most"
FDMGroup," Three things occur at once. A baby is crying, a tea kettle is whistling, and the phone is ringing. In which order will you take of the problems and why?"
PwC, There was a case interview even though the invitation said explicitly that the interviews will be behavioral.
BestBuy, Would you turn your friend in for stealing a bag of chips?
BoozAllenHamilton," ""What else can you tell me that would make me interested in hiring you?"" "
LibertyMutualInsurance," An insurance company only makes a payout when damage is above 1000. Only 50% of the damage above 1000, including the 1000 is paid out. If the payout was 1250, what was the damage?"
Mattersight," You have an unlimited number of marbles colored 3 ways (green, red, blue) how many marbles do you need to select in order to be certain you have one of each color"
Accenture, Do you realize we don't do engineering here?
JBT, Can you name this item in the photo?
WellsFargo, Do you stay current on the financial services industry and market movements?
NorwegianCruiseLine, What is the most important aspect of selling?
ReynoldsandReynolds, Are you married?
Sogeti, What is SDLC
Cerner, Where do you see yourself in 5 years?
EzeSoftware, How do you get 4 gallons of liquid with only 5 and 3 gallon drums
FactSet," If clock hands equal 0 degrees at 12:00 and 180 degrees at 6:00, then what is the acute angle between the hour hand and minute hand when the clock is at 3:15?"
NationalInstruments," You have someone speaking in a microphone. How would you record someone's voice? If there was noise, where would you cancel it out on the signal(beginning or end of the wire)? How would a longer wire affect the signal?"
Ogilvy, What would you previous boss say about you/
ConvergexGroup, If the lights were turned off and you had to reach into a drawer that had 10 white socks and 10 black socks how many would you have to pull out to guarantee that you had a matching pair?
Oracle, Why do you want this job?
NorwegianCruiseLine, What makes you want to work for us? 
AT&T, Tell me about a time you used your sense of humor to difuse a situation at work?
Microsoft, Describe the difference between a struct and class.
Accenture, Situational questions and assessment of maturity/seniority. Questions on how I dealt with project members who did not pull their weight. 
NVIDIA," Four people, (A, B, C, and D) need to get across a river, and there is only one boat. The boat can only hold two people at a time and will only go as fast as the slowest person in the boat. If it takes A one minute to cross, B two minutes, C five minutes, and D seven minutes, what is the shortest time for all 4 people to cross the river?"
BoozAllenHamilton, Do you have any experience with Fortran?
Epic, What are the characteristics of your ideal supervisor?
EzeSoftware," You wash up on shore with 3 crates next to you. They are labeled apples, bananas, and apple & bananas. You kniw each is labeled incorrectly. Which crate would you choose from to guarantee you know which crates belong to which label?"
L.E.K.Consulting," Brainteaser: If I were to give you a cube that was 10x10x10 units in volume, how many individual 1x1x1 units would not appear on the outside of the cube?"
Deloitte, How many ridges are on the outside of a quarter?
CiscoSystems, Explain the difference between TCP and UDP
Manulife," Your resume is tailored to this job, did you make it up?"
Booz&Company, A new cancer drug has been developed. How will you price it?
PFM, What is the angle between the hands of a clock at 6:15? 
IQVIA," An eight gallon container is full and both a three gallon container and a five gallon container are empty. Without using any other containers, divide the water into two equal amounts."
BoozAllenHamilton, What did I expect from Booz Allen Hamilton?
UnitedHealthGroup, What is the return on investment you project for health management programs.
Clinique, Are you more sales or service oriented?
AT&T," When were you given a NO, and not able to turn that into a YES?"
CGI," A worker is to perform work for you for seven straight days. In return for his work, you will pay him 1/7th of a bar of gold per day. The worker requires a daily payment of 1/7th of the bar of gold. If you were only able to make 2 cuts to the gold bar, describe how this will allow you to pay him 1/7th each day? "
Aetna, What is the square root of 7?
Accenture, Tell me of a Project where you ran over budget.
McKinsey&Company, Should one company purchase another company that is in a very different field? 
PageGroup, As a Michael Page employee what are we here for?
SpartaConsulting, Interview was really easy when I had it... nothing unexpected or unknown. 
PowerSteeringSoftware," Stupid question: If I was driving home tonight and there was a billboard with your picture on it, what would it say to tell me that you wanted the job?"
