company Name,Question
FidelityInvestments, Design patterns questions
PNCFinancialServicesGroup, What is exceptional customer service to you?
Slalom, How would you architect a new data warehouse/pipeline solution?
MedeAnalytics, What is table partitioning in database.
MedeAnalytics, What is the Use of pipe (|) in Unix
MedeAnalytics, Find duplicate rows in a table.
Verizon, Blocking vs Nonblocking in OS
LinkedIn, What is REST? How did you use it at your current work place?
LinkedIn," Design a program to take a string and store, each character, into an array. The array should return a count of each character when called. [The interviewer was clearly trying to blur the lines between a simple program and a MapReduce]"
LinkedIn, Why LinkedIn?
ImpetusTechnologies," Basic MapReduce and Java questions. Covered other components in Hadoop eco system (Hive, Sqoop and Oozie). Few questions Spark performance and architecture."
KPMG, Mostly technical and scenario based all focused on Bigdata lake
NIKE," Questions were very detailed, very low level and interesting"
GumGum, Tell me about what your ideal work day would look like.
GumGum, Is working from home sometimes necessary for you?
NOMISSOLUTIONS, What is your experience with big data?
Vrbo, Most of the questions are related to the Technology I have worked on
TikTok," Video interview with a technical manager about how to retrieve data from big data platform, and how to design a Datawarehouse for a specific situation "
Jawbone, Design question on the battery peaks and troughs using Map Reduce 
Ericsson-Worldwide, How would you design a data pipeline?
Amadeus, What was your role in the project and did you lead the project
LinkedIn," Some questions about SQL queries, database transactions, batch vs stream processing, some intermediate coding problems"
SoFi," I was asked questions about my solution to the previously completed coding assignment, and was also asked what the output of a sample Python code snippet would be."
BellandHowell, It was more of a discussion where I was asked about machine learning projects and why I took a particular approach in that project. Then some hypothetical scenarios were given and they wanted to see the thought process.
LinkedIn, Why LinkedIn?
FidelityInvestments, What is thr architecture of spark?
FidelityInvestments, Questions on mappers and reducers and hadoop
FidelityInvestments, When you will not use docker
FidelityInvestments, Difference between Structural databases and unstructured databases.
Ancestry, Design LRU cache
Ancestry, Some big Data related questions involving working knowledge of spark
Ancestry, Design parking Lot using REST APIs and microservices
zulily, Different types of dimensions in Datawarehouse
Amobee," Hadoop Technical Questions were many: Q1. Explain Architecture of Yarn. Q2. How to plan Capacity with Yarn? Q3. Some issues with jobb failures on Yarn for a Spark job or Hive Jobs? Q4. Java heap memory tuning ? Q5. JVM internal questions? Q6. JVM issues - example - missing classpath, OOM, GC etc. Q7. JVM thread dump, jstack questions. Q8. HDFS Questions - Pipelining, ACLs, DataNode Failure issues, UnderReplicated Blocks etc. Q9. Spark jobs issues. Q10. Spark Memory tuning, some other performance questions. Q11.Upgrades - Process, issues, Best practices. Q12. Linux questions Q13. Networking Questions. Q14. Programming questions. Q15. Architectural Questions on BigData."
Ancestry, Connect nodes of a binary tree at each levels
"PandoraMedia,LLC", Deck problem was very tough for me and it was at the end I was too tired
IQVIA, Any challenge that you have faced while handling big data in a company
Ancestry, Search an element in the binary tree in a constant time
IQVIA," What is big data, map reduce and data lake"
FidelityInvestments, State the use cases for batch processing and streamline processing.
FidelityInvestments, Describe your previous work experiences. 
MarkMonitor," singleton, hadoop, kafka "
ipsy, Longest palindromes in a string SQL quesiton
Cloudwick, Work Experience Related
GlobalLogic, aptitude and personality
MedeAnalytics," 1- Questions on Indexing, Joins and other concepts of SQL. 2- Difference between procedure and function. 3- Cursors ? 4- Sub-query."
Siemens, Logic based questions. Scenarios. Code reviews
