company Name,Question
NestléUSA," Explain/define ""Weighted Average""."
Wayfair," 50,000 shoppers with a 0.5% conversion rate for a chair that costs $250. Wayfair makes a 27% profit. Next, 50,000 shoppers will get a 10% discount. What is the conversion rate they must achieve to achieve the same profits as before?"
IBM," What reporting tools have you used? Actuate, Brio, Crystal Reports? How much experience have you had in scheduling jobs on Unix? Can you write XML and implement it?"
WorldWideTechnology, Whats the difference between inner join and outer join?
Accenture, Describe the different parts of an SQL statement
BaylorScott&WhiteHealth," The typical ""difficult"" question that comes up in Business Intelligence is (and I'm paraphrasing), ""What's the best data warehouse solution?"". "
MEC, What is a Cartesian product?
UniversalHealthServices, What is a clustered/non clustered index.
Amazon," You have a table called Order with Cust_ID, Order_Date, Order_ID, Tran_Amt. Select the top 100 customers with high spend over a year long period."
Shopping.com, What is the market for tennis balls in your city?
Yammer," You're playing a game with a friend where some third party flips a fair coin. You can choose a sequence of either Heads, Heads, Tails or Heads, Tails, Heads. Your friend gets the remaining sequence. Whoever's sequence occurs first wins. Which do you pick?"
CharterCommunications, Describe your experience
Logic20/20," If you were stuck on a desert island with a database that contained all the knowledge ever created, but you only had 10 SQL statements that you could ever use, what would they be?"
Wayfair, The previous scenario actually happened. Would you give a 10% discount?
DIAAssociates," Questions about life work balance, pressure handling and math questions and brain teaser"
Target, Describe a difficult time you had with a co-worker/boss and how you resolved it.
DellTechnologies, How would you design a packaged solution for customer needs
UrbanScience, How many Ford trucks were sold in the US last year?
CambiaHealthSolutions, None
Neudesic, I was asked what the largest database I worked on was
Adknowledge, The case study had a few ambiguous questions intended to demonstrate the thought process.
7-Eleven," Discuss something that's not mentioned in your resume, and relates to this position."
KraftHeinzCompany, Where do you see yourself in next 5 years if you decide to stay at Kraft?
Ubisoft, just general questions
Hanger, Give an example of a time when you influenced strategic decisions.
Epic, They asked questions about solving problems programatically
IBM, Tell me a few things about yourself?
Amazon, What is the difference between DELETE and TRUNCATE? What is the difference between UNION and UNION ALL? What is the difference between a WHERE statement and a HAVING clause?
PalantirTechnologies, Who are Palantir's top two competitors?
MANDiesel&Turbo, Who is your role model? The questions were mostly behavioral. A lot of it was based on my previous work experience. They wanted to know how I would handle difficult work situations. 
H.D.Smith, Given your breadth of experience would you become bored with this position?
Syniverse, What would your employer say about you?
Univision, What is your biggest fear
Amazon, Describe the system architecture for a recommendation engine based on a customer's previous shopping history.
SouthwestAirlines," Strengths,Weakness,Past work Ex,Resume Overview"
DICK'SSportingGoods," ""Besides a school group project, when was a time that you went above and beyond in a group setting?"""
TruMarkFinancial, Name a situation where you had to multitask
