company Name,Question
CapitalOne," Case interview: basic business problem (if product X costs Capital One $4.00 per unit, with a $800 sunk cost, and we charge X amount of dollars along with a $10 annual fee, how many do we need to sell to break even, etc). Followed by a longer discussion of more complex problems that the situation might entail."
Enova," If you have a 5*5*5 cubic, what is the outside surface area?"
Google," If you have 10 bags of marbles with 10 marbles each and one bag has marbles that weigh differently than the others, how would you figure it out from one weighing"
AprendamosInterventionTeam, How has a treatment plan changed during the course of my medical support services for a patient? Why did it change and did my work have any contribution to the treatment plan change?
Kaplan," What are 5 uncommon uses of a brick, not including building, layering, or a paper-weight? "
Enova, Estimate how many shoes can be sold in US in one year?
CapitalOne," case study: credit card insurance profit per customer cost of mailing $0.5, response rate 1%, average balance per month $1000, insurance charges 1% of average balance monthly, customer claim rate 5% (once insured customer files a claim, the balance will be wiped and C1 lose $1000). Question: profit per customer, graph claim rate vs response rate, graph profit vs response rate and find the response rate for maximum profit (r=1%) "
CoxCommunications, Tell me about a time when you couldn't meet a deadline?
RocketFuel," Given a plot of land and $250,000, what can you do to maximize your revenue and what kinds of data would you look at to do so?"
CapitalOne," One of the questions from the second behavioral interviews: ""Tell us about a time (job-related) when you made an unpopular decision, and despite everybody's doubts, your decision turned out to be the right one."""
Microsoft, I was aske to specify as many ways to return the rowcount in the table. 
LibertyMutualInsurance, What is your career path?
J.P.Morgan, Tons of behavioral questions encountered in the whole process- What would you do if there was a problem within your team etc.. 
BlackRock, Most of the questions were regarding my work experience so far. And a few logic questions like what is the angle between the hours hand and minutes hand when the time is 3:15; How do I identify which switch corresponds to which light bulb when the switches are in one room and the bulbs are in another and given that I can enter the room with bulbs only once.
CapitalOne, Describe a time when you had to use persuasion to influence other's opinions.
FXDD, A frog falls down a well of 50ft. Each day he climbs up 3 and each night falls down 2. How many days does it take him to get out?
CapitalOne," Prepare 6-7 situations for behavioral questions and be flexible if they questions is not asked in the way as you are prepared. Try to find the character they asked from your prepared examples. Cases are easy, if you make mistake and feel your answer is awkward, ask for help and modify your calc. I did make a mistake. It was a typo carried to next step's calc. And I found out and asked for help, and found out what's wrong with the formula I wrote."
Dealer.com, Can you add 1-100 together right now? Do this by adding 1+2+3 etc all the way to 100.
Microsoft, I was asked about clustered or non-clustered indexes. 
WorldQuant, Sort lines in a txt file by one of the columns using shell scripting.
AtwoodOceanics, Have you ever prepared reports directly for the CEO of your company?
DiversifiedInvestmentAdvisors, How can we make sure you are the right fit for the position?
InsuranceServicesOffice, Do you have programming Skills?
InsuranceServicesOffice, When did you learn object oriented programming?
Optiver," Two players are at deuce in a tennis match - player 1 has 60% of winning the point, player 2 has 40% chance. What are the odds of player 1 winning?"
PIMCO, Related to the filed of your skill set
MaestroTechnologies(NewJersey)," Around logistic regression, data cleaning, difference between data mining and data profiling"
SeagateTechnology, Sell me your phone
CapitalOne, Background Information
PetSmart," Philosophical data science question which showed how dated the PetSmart infrastructure is. Interview questions were disassociated from position requirements. My assessment after 4 - 5 hours, PetSmart interviewers knew very little about the subject matter."
CapitalOne, How do you deal with the situation when you and your manager is in conflict? 
USOncology," how would you select common rows between two tables, what is a left outer join? What is the structure of a pl sql block?"
SCOR, Technical test.
GarretsonResolutionGroup," The most difficult question for me was ""what would your ideal position be like""?"
FDMGroup, Why are you interested in being a data analyst
CityofNewYork, What were some recent projects you've worked on/tell me about a problem you face and the path you took to a solution.
"BlueCrossBlueShieldofIllinois,Montana,NewMexico,Oklahoma&Texas|HCSC", Why was I looking to leave my current position as a customer advocate?
CVSHealth, The Architect asked about custom error handling
ILDTelecommunications, How long ago did i work on the river
BridgewaterAssociates, Do you approve of abortion?
PacificGasandElectric, behavior question - very standard and perhaps too standard
NewYorkCityDepartmentofEducation, Are you able to conduct presentations?
MediacomCommunications, Why should I hire you?
Anacomp," During the interview, they asked about what I had done in previous positions and then, following that description, they asked about what was involved on a deeper level and about the background of the situation, requirements and challenges."
UnitedHealthGroup," How to identify the values for SEX column, say, 1 is Male or Female."
Accenture," Of all the consulting companies out there, why Accenture?"
BridgewaterAssociates," There wasn't one ""most difficult"" question, but the behavioral interviews were difficult for me. They will dissect you like a frog. (The questions will vary based on your background and the personality tests, so I imagine it can be very different from person to person.)"
FSA," ""Are you planning to have a romantic relationship with your boss?"" The case: there are xx amount of jobs with xx employees. You will need to analyze whether to hire or fire employees. Calculate Z score."
Swedish, How do you feel about data?
ShadyGroveFertility, What computer experience do you have
EAB, Are you hardworking?
QuickenLoans, How many piano tuners are there in the city of Chicago? 
QuickenLoans, How many green SUVs are in that parking garage?
SEIULocal32BJ," Very generic question. Data Analysis is relatively new to the Union Industry so they questions are not that in depth. However, there is a particular interest in people experience in using non profit CMS and Voter file managers"
CapitalOne," Onsite case question were mostly Math based with logical conclusions to be withdrawn Case 1: All bank terms with value were given like %APR , ROI, transaction types etc. and Profit/Loss was asked to calculate. Case2: Call center data with numbers. X number of Call Centers with Y number of employees and their effective time of response for a call in minutes. What is the average of each center, if one employee is dropped off call what should be the level of response. The case interviewer clearly makes you understand the situation with hints. You got to answer the proper numbers with conlusions. Behavioural round is pretty straight forward and like any other HR rounds. There were 10 people interviewed on same day. The process is arranged properly with accommodation and food facility. Cap One did best to make sure the candidates are given proper facility."
Netflix, What technology or item that most people feel will be obsolete in the future do you not agree with ....
Futuredontics," The difficult part of the interview is that they suggest you other opportunist available. And this is great, but you aren't allowed time to prepare for corresponding questions that pertain to them. "
Dolby," What projects have I handled and what was there outcome, i.e. on-time, over-budget, etc."
WasteManagement, adding value to our customers in a service based market
Intuit," In general, the questions are more related with your passed experience and the working knowledge regarding with the opening."
IONMediaNetworks, How do you identify robots and real human-being in tweeter?
IONMediaNetworks," There are 10 truck driving from A to B. There are lights in the trip and a car needs to stop or turn right when there is a red light. How long does it take for the ten truck to arrive at B in the original sequence(1,2,3,4,...,10)? "
PolarisMarketingResearch," Are you aware that your position may not be there in 5 months, because the company isn't doing so well."
Criteo," Basic SQL questions (use of inner, outer joins)"
Criteo, What is the business model of criteo?
GroupM, some terminology definition and comparison
Criteo, what happens if a client is worrying about a decrease in RTB revenues
Target, Describe a time when you lost a customer's trust.
Petco, Estimate the number of windows in NYC
NewYorkCityDepartmentofEducation," Misleading, when you invite a candidate for testing skill, you should say so. "
J.P.Morgan, One difficult one was- How do you take charge of your learning? 
Dunnhumby, how tall is willis tower (tallest building in Chicago)?
WilliamBlair, What are your weaknesses
WilliamBlair, Give an example while in school that you were challenged
SpectraLogic, The push to reveal current salary and provide a salary expectation.
AssuredGuaranty," GO's are typically viewed as the safest of bonds, do you feel that there is such a thing as a full proof bond?"
BlueCrossandBlueShieldAssociation, Strengths and Weakness
NewYorkCityDepartmentofHealth&MentalHygiene, why you think the position fit you?
LBrands, I was asked how I would hack into the network using the phone that was on the desk.
CH2M," Based on what we have told you about the position, what do you think you can do for the client?"
