company Name,Question
Adobe, How would you design a recommendation system (like amazon)?
FidelityInvestments, Design patterns questions
Facebook," given a list of tuples of movie watched times, find how many unique minutes of the movie did the viewer watch e.g. [(0,15),(10,25)]. The viewer watched 25 minutes of the movie."
PNCFinancialServicesGroup, What is exceptional customer service to you?
Unify, overall experience in Data engineering?
OneMedical, Reversing string characters and replacing either the first few or last few chars with a pattern
ModCloth, How much experience do you have with Ruby on Rails?
SurveyMonkey, Describe how to mitigate transition pains of moving from a JS/UI framework. 
Chitika, Most questions were fairly easy or theoretical.
ElectronicArts, Find the starting node of loop in the singly link list. A-B-C-D-E-C... So c is the starting node
ServiceNow, Add up a sum of numbers on a whiteboard and give me the average.
Wealthfront, Typical data engineering questions
ServiceNow, How do you educate yourself?
ComputerTaskGroup, When are you available?
LinkedIn, they just asked a coding questions
Facebook, How did you collect requirements for the new application?
Commonwealth-Altadis, Put in a difficult situation with the interviewer while he was role playing an angry superior first thing in the morning. He acted like a total jack@ss. I was speechless.
Facebook," How would you design and build a data model to report on active users and number of posts by interface (ipad, iphone, desktop web, etc) given a hierarchy of these interfaces and their rollup groupings, at any and all levels of the hierarchy?"
UniversityofWashington, Would you be comfortable just being a programmer?
UniversityofWashington, Are you comfortable with this level of pay cut?
SquareRoot," There weren't any difficult questions. Folks were nice about the whole process, though the process lasted quite a while (over 4 weeks)."
Microsoft, Do you have a Microsoft-based computer?
Apple, create market basket output from sql. 
Slalom, How would you architect a new data warehouse/pipeline solution?
Spotify, Build out the architecture to go from a stream of user-level event data on their devices to time-aggregatable metrics in a dashboard.
CapitalOne," No in-depth questions, just questions about my last two projects."
WaltDisneyCompany, What is a test plan
Facebook, They asked how I'd scale a web app I'd previously developed in my spare time up to Facebook scale.
Amazon," Data modelling, SQL. Focus on scalability as Amazon has huge volumes of data. "
HBO, Asked a live coding on python. Need to execute the program online after coding. And 2 SQL queries where I need to write the query. 
Genapsys, write a program to swap() in java. He does not tell what the input or output is coz he ( the project manager ) does not know.
VerizonMedia, I had to explain a project that I feel most proud of
C3.ai," Tell me about a previous project you have done, that would be related to our field? What were the results? What was the most challenging project you have led so far?"
Amazon," I want to design a database similar to imdb, design it, and tell me the structure/fields so that 1. given a specific year, you can find top 5 grossing films 2. given an actor, return all his costars 3. all movies with more than 3 cast members."
ADP," The questions were mostly technical, related to my experience with hardware, application, and services hosted by ADP."
Cabela's, What was interesting about the job posting?
SailPointTechnologies, Given a nxn graph find smallest rectangle within the graph
Facebook, Most of the questions were along the same lines as the ones already posted on Glassdoor.
AtomTickets, Why are you leaving your current company?
ProgressiveInsurance, Tell me about a time when you had too many things to do?
Demandbase," Very broad range of questions covering data engineering, data science, distributed computing, architecture... and specialties like record linkage / deduplication + multiple code exercises"
Adobe, Design a recommendation system???
BoozAllenHamilton, What type of data projects have you worked on?
