company Name,Question
MorganStanley, What's the best unbiased estimator for a series random variables?
JaneStreet," You have 2 decks of cards (each deck contains both red and black cards). One deck has twice the number of cards in the other deck with the same color ration (so one deck has 52 cards and the other has 104, both half red and half black). I offer you to play a game. First you get to chose which deck of cards you want to play with. Second, you draw 2 cards at random from your deck of choice. If both are red, then I will give you a ferarri. Which deck of cards would you chose?"
Google, What is the probability of breaking a stick into 3 pieces and forming a triangle?
Citi, how many combinations that have at least one five from zero to 1000
MorganStanley," From (0,0,0) to (3,3,3) in 3D space how many paths are there if we move only right, forward or up?"
JaneStreet," 2. In an urn you have red and blue balls (same number of balls in each of the two colors). You extract 3 balls what is the probability that the number of balls you have extracted is odd. Now you extract 10 balls, what is the probability that the number of balls you have extracted is odd? "
MorganStanley, The price of a stock is $10 now. It has .6 prob. increasing to 12 and .4 prob. going down to 8. Interest rate is 0. What's the value of a call option with strike $10?
MorganStanley, 66 handshakes occur at a party how many people at a party if everyone shakes hands with everyone else.
MorganStanley, What is the probability of a Brownian motion hit 1 before hitting -2. The Brownian motion starts at 0.
D.E.Shaw&Co.-InvestmentFirm," If 3 of my friends have phone numbers ending (last four digits) in some permutation of 0,1,4, and 9 and I have 150 friends, then is that just a chance occurance?"
GoldmanSachs," You call the home of a family w/ two children and a kid ""billy"" answers the phone. What is the probability that both children are boys? What is a virtual constructor in C++?"
GoldmanSachs," gambling question, whether it makes sense to gamble, if the chances are very small. Calculate the odds someone will take the grand prize if one million people goes, and odds are 1 in 1 million for each entry."
MorganStanley, expectation of max value of two dices
MorganStanley," if you have 3 children one is boy and one is girl and another is unknown, you choose one from them what is the probability that that one is a boy."
MorganStanley, Expected number of flipping coins of getting two consecutive faces.
JaneStreet," 3. There are 30 blue and 30 red balls and two urns. You play a game. Your opponent has the right to arrange the balls in the two urns as he pleases, without telling you what he did. You then must draw a ball from an urn of your choice. You win $10 if you draw a blue ball, otherwise you get $0. How much would you be willing to pay to play this game?"
Citi," Burn two ropes, one needs 60 minus, another needs 30. How to get 45 minus time."
KnightCapital," How much would you pay to play this game? You have a fair coin. You get heads you win $1 and can continue to play. You get tails, you collect your winnings ans stop the game. Second question. Now what if the winnings double each time you get heads."
GoldmanSachs, What is the expected value of tosses to get 3 heads in a row?
AllstonTrading," Given a m*n matrix with values -1 or 1, try to flip the values in a given row and a given line efficiently."
CognizantTechnologySolutions, What are the independent and dependent variables in your model? What are the underlying assumptions of the model? What did your research indicate should be the expected parameter estimates for your independent variables? How long have you used SAS? What models/methodologies have you evoked through SAS?
MorganStanley, There is a big line of people waiting outside a theatre for buying tickets. The theatre owner comes out and announces that the first person to have a birthday same as someone standing before him in the line gets a free ticket. Where wil you stand to maximise your chance?
MorganStanley," A line in front of movie theater, a free ticket is to given to the first person whose birthday is the same as someone who has already bought a ticket. You choose the position in this line, which position have the largest chance of getting the free ticket?"
MorganStanley," 3 random variables have equal pairwise correlation, what are the possible value of correlation."
MorganStanley," In 3-dim graph, how many paths to go from (0,0,0) to (3,3,3)"
AthenaCapitalResearch, X(t) follows BM. Prob of both X(T) and X(2T) larger than 0.
U.S.Bank, What are some ways we can describe a probability density function? What's an eigenvector/eigenvalue? 
MorganStanley, an urn with Black balls and white balls. W> B 2 are drawn at random. probability that the send ball drawn is white. given the first is black.
NumericInvestorsLLC, Suppose there is a series of 100 light bulbs labeled 1 through 100 that all start in the off position. Person 1 walks in the room and turns on every light bulb. Person 2 walks in the room and flips the switch on every 2nd light bulb (i.e. he turns off all even numbered light bulbs). Person 3 walks in the room and flips the switch on every 3rd light bulb (turning some on and some off). This process continues until person 100 goes through and flips the switch on the 100th light bulb. Which light bulbs will be lit up at the end?
BankofAmerica," Questions could be very detail in techniques, make sure you remember all projects you've been working on."
