company Name,Question
Shake-n-goFashion, What can I bring to the table?
AmazingListers, To see my portfolio and go over the requirements of the skill test
AT&T, A specific technical question was provided that was actually a trick question to see if I would make up an answer. It was the only one i could not answer.
Wpromote, Why should we hire you over everyone else?
SchedulingInstitute, Tell me in one minute why we should hire you.
ARSAdvertising," Are you able to work long hours, this is not a 40hr work week."
ARSAdvertising, How do you handle conflict
Panasonic, Are you looking to stay long term
LawsonScreenDigitalProducts, Whether I had a criminal record or did time in prison.
QATestingOnlineTraining, What is QTP?
DrFirst, How would you handle setting up a landing page?
Coty, They asked me about corporations and I found it annoying and rude.
Powr-Flite," Again, not a question, just a warning. The graphic designer had every single tool open on one screen while the artboard was another screen. He didn't allow me to set up PS to the way I work. It was crazy how he had his stuff laid out. And he sat right next to me. It was timed. It wasn't like I was going to do my share of the work with HIS PS layout. Every tool open! Ridic!!"
Powr-Flite," The first non-creative person I spoke to had a bunch of catalogs and brochures on a conference table. I was looking them over while I was waiting for the first non-creative. That person asked me, "" If I could change the look/feel of any of the materials before me, which one would it be and why?"""
Powr-Flite," This really wasn't a question per say, but rather a warning from the graphic designer that stated that this wasn't a creative job so if I was looking for that, I wouldn't be happy there. He said something to the effect that he was still there because he lived close, and the pay was decent."
GeorgiaTech, I would say they kind of caught me off guard when they asked me have you ever dealt with diversity? 
Practicon, Did you and your previous manager ever have disagreements?
ConseroGroup, What environment do you work best in?
"HenryGraphics,Inc.", Are you able to create drawings like [two examples presented] these? Do you know how to use Corel Draw?
Walmart," Do you see yourself designing in ten years, and if so, is it for our company?"
ProtekMedicalProducts," Since you were previously laid off, how do we know we aren't hiring a dud?"
AuBonPain," ""Why do you passionate about food?"" "
MGMResortsInternational, Have you ever had to deal with any difficult clients? How did you resolve the problem?
Dealertrack, What is one thing we did not ask you that you wanted us to ask?
ReynoldsandReynolds," There was some unexpected questions on the final application that wanted to know what kind of pets I had when I was young, whether or not I had a car loan, and if I had any dependents."
OSGBillingServices, Why did you apply to our company.
Brightstar, How do you handle a situation where someone does not agree with your expert advice?
Liska+Associates," The most surprising comments/questions were regarding working in a collaborative environment. Most design agencies encourage this, but it is clear from speaking with the team that this office runs very individually, with little to no communication between designers."
FlukeNetworks, Pretty straight forward questions. Mostly asked about my experience.
Overabove, I was asked about my design experience and availability.
LifoamIndustries, none really - all questions were exhaustive and covered everything
DirectAgents, Tell me about yourself.
Solers, How long do you plan to stay with the company.
Solers, How would you handle a difficult project?
CityYear, What is my favorite font?
ClassicImportsWholesaleStore, How far away do you reside from the company?
ClassicImportsWholesaleStore, What are your salary expectations?
Endless," Besides behavioral and technical questions, they asked me why I would be a good fit and how I engage in social causes."
PacificCoastFeather, A number of personal questions were asked that most companies would not ask in an interview.
RIT(RochesterInstituteofTechnology)," If you only had 90 days to live, how would you spend them and why?"
Hit&RunProductions, Had i been to a china factory?
Hit&RunProductions, How much Thomas the Tank had i worked on?
NewmarkKnightFrank, graphic designer
Gabriel&Co, What made me interested in this field/graphic?
HubbardBroadcasting, Have you ever had difficulty working with a manager?
SchedulingInstitute, Why should we hire you at the Scheduling Institute?
MirrorShowManagement," I have lots of experience with clients, some of whom have plenty of changes with every project, some needed and some capricious. I was asked about some of these experiences as well as about my willingness to adjust to unexpected deadlines. "
Xerox," 1. What do you know about the ITO outsourcing business. 2. Can you produce process diagram graphics that tells a story about our services and differentiate xerox in the market. 3. Have worked with a pursuit and proposal team consisting of pursuit manager, SME, SL, tech writers, and editors and marketing director. 4. do you have experience creating presentations in-real time with last minute changes."
"alliantgroup,LP", How do you feel about working 50+ hours a week.
ColliersInternational," ""If you could be any superhero, who would it be?"""
Moore&ScarryAdvertising, Are you experienced with flash?
Temkin, What are your strengths?
FirstStationMedia," I want you to confirm your name, cell phone number and location."
FreePeople, Why Free People?
UniversityofColoradoBoulder, Tell us how you would go about this project. 
Fiberlink," This may not sound like a shocking or difficult question, but as a person who despises reading, I was quite taken aback when asked to give details about the last three books I read."
Celarity, How would you describe your design style?
IsomGlobalStrategies," Nothing out of the ordinary -- ""why are you looking for a new job?"""
Cengage, Why did you choose Cengage for employment opportunities?
Mozilla, Explain your creative process.
Gail&Rice, Why are you leaving your old company?
EastCarolinaUniversity, Why did you pick that font size?
UniFirst, How would you deal with the commute?
MurphyLawFirm(LA), Do you know how to use Adobe programs?
SchedulingInstitute," ""What if you have to work in a way that's not efficient for you?"" "
AbbottLabs," Past experience, challenging projects"
Yahoo, What do you see yourself in 5 years.
GECapital, The most difficult question was: What is your biggest regret
KIPPFoundation, What aspect of the position do you feel would be the most difficult for you as a designer?
DollarGeneral, The questions asked were all typical interview questions.
Ninthlink, Do you know how to use photoshop?
TheMarketingArm, The questions were pretty standard.
WorkCare, Would you be comfortable working independently in the office since the Marketing Director works remotely?
AMPAgency," What are your expectations of this role? As in, what do you think the role of graphic designer at Amp will entail, and what are you hoping to get out of this job in terms of your career. "
SaharaSam'sOasis," Too many to be listed here, the interview lasted over two hours."
VancePublishing," I do not believe that my portfolio was fully prepared for that specific interview. There were a few gaps (such as html emails) that they were looking for, that I have, but had no examples of."
FidelityInvestments, I want to hear more about that gap on your resume; are you comfortable creating artwork without Photoshop and Illustrator
"F+W,aContent+eCommerceCompany"," For me, the most difficult question to answer was ""Where do you see your career in the next 5/10 years?"" "
Scentco, What drew me to this position?
PrimingTank, Years under my belt
NewYorkLife, Skillsets and level of proficiency 
PulseInstruments," There are three questions that stand out the most in my mind. How old I was, How many kids do I have and their ages, who would take care of them when they got sick, and what religion am I. I'm pretty sure those questions could get them in deep trouble for discrimination. "
Spin350Creative," ""If you were a color, what color would you be?"""
ClearChannelOutdoor," They asked about my marketing background, of which I had little, however at the level of the position this was not as much of an issue as previously thought."
AlphaGraphics," Spelling and typing. I am not a writer, I type slow. I am not a good speller. I rely on spell check and am faithful using it. But spell check doesn't catch everything. If I have time I can proof it I will catch some. I usually get text content from customer and tell them to proof copy. Probably not the answer they wanted to hear."
DisneyParks&Resorts, what's your idea of an Ideal Leader?
McGraw-Hill, how much experience do you have with managing projects?
PETRA, They seemed to want to be sure that I would be okay with not being the driving creative force behind any given project.
