company Name,Question
PossibilitiesforDesign, What type of design style do I not like?
TheTrumpOrganization, What would you like to design / your future?
CADCOArchitects&Engineers, What programs are you proficient in?
Gensler, The usual suspects
TEAGUE," Only question asked in our now 8 minute call was "" How do you handle CONFLICT both inside the firm as well as with the clients? "" THIS WAS THE OPENING QUESTION FROM A CREATIVE/ TECHNICAL FIRM? So after I stated I had heard the same first question from another Seattle leading design firm I concluded that coffee and cloud cover make for less than happy work environments in Seattle. Creative, pressure cooker environments are my playground but this is NOT the first question I would ask of my new hires. Total turn off and a super red flag that you will be swimming with nasty sharks in and out of the office. Creativity is not fruitful when the charge is all negative surrounding the teams. "
EthanAllen, What was the question you were asked?
EthanAllen, What do I understand about the scope of the position applying for?
SmithGroup, What salary would you expect?
MRArchitecture, If I had any prior intern experience.
RestorationHardware, Tell me about yourself as a child? (odd)
DavinInteriors, Why are you leaving your current position? 
IKEA, Why did I apply for the interior design co-worker position?
NorthropGrumman, What is your management style?
Gensler, Why do you moved to LA?
KobiKarp, How would you benefit our company ?
GGLO*, What role would you like as an interior designer?
JonathanPodmoreCabinetry, How would you deal with a client when they want to make a change?
WalterE.SmitheFurnitureandDesign," What are you currently doing? Tell me about your design background. These representatives lack passion , they seemed disinterested. I was shocked at their lack of design knowledge or sales capabiliites"
AvroKODesign, What project types I worked on. 
HDR, About my project and job role
KesslerCollection, If I knew how to write specifications
Perkins&Will, Am I able to work efficiently.
EntosDesign, What is the height of a counter with an ADA sink?
Foster+Partners, How soon can I start
DOTI, How well do you think you would do within a retail environment?
RuleJoyTrammell+Rubio, What is one of your weaknesses?
WeidnerApartmentHomes," The questions were very general. Such as: Have you ever dealt with someone that was difficult to work with, and how did you handle it?"
JohnWielandHomes, Why do you want to work here?
Nielsen, They made you analyze a case study. 
OnePoint," Questions varied but I remember being asked about technical compliance( working with current software, etc) and how well I handled stress and multiple projects. "
EthanAllen, Did I have pictures of my designs?
Dunn-Edwards, Tell me a little about yourself? What would you change about yourself? Why should be choose you? How did you deal with a difficult customer? What are some of your strengths? What would your currently manager say about you? What accomplishment are you most proud of? How do you deal with frustration? Tell me about your experience? Are you currently enrolled in the University? How was the commute here? The showed me a picture pretending to be a client and told me what type of environment they wanted to create and which colors would work best. The client said they wanted a cozy calm color but with a modern twist so i went with a grey color. Tooks 2 minutes to choose. 
WeWork, Why do you want to work at WeWork?
SSOEGroup, What was a challenge at your previous job and how did you overcome it or face it?
WeWork, - When I got to show my portfolio they had questions regarding my approach to various phases of the projects and my role in each of them. - Asked about my thoughts on mentorship. - Asked about what I look for at an employer - Asked about my interview stage with other companies
RestorationHardware, What are my future goals professionally? 
OKWArchitects, Tell me about yourself 
