company Name,Question
Jeppesen," Who determines user standards, you, the company, someone else?"
Jeppesen, How do you deal with a group of twelve or more people who all have a different opinion about what looks good and what doesn't
"FolioFinancial,Inc.", Can you describe what your design process is?
Spotify," My exercise was to redesign the Netflix homepage for desktop. The Global VP of Design at Spotify happens to be Rochelle King, formerly of Netflix. I thought that was clever."
Kaplan," None really, if you know what you do. They were all standard questions for UI. I do recall them asking me about my biggest challenge in past work."
GeneralAssembly, Are you a big fan of marketing?
NetSuite, what methods have you used
NetSuite, what user research methods are you familiar with
Yelp," A ""design exercise."" My choice from six different re-design problems involving their desktop or mobile software experience."
CourseHero, Why do you think you deserve to get this job?
Amazon, Describe the process of how you would create a wine website from scratch.
Groupon, What new technologies have you heard of?
ClientResources, They asked about my experience with certain software and the previous work I'd done at other jobs.
McAfee, Why do you think you would be a good fit for this team?
Verizon, What is your GPA in HS and in College. 
Phunware, I was asked to critique parts of their site on the fly.
Vanguard," When can you start? It was a hard question as I'd been working on several freelance projects and needed time to finish them up. Plus was hoping to have time to prepare for the job areas where my experience was lacking. Was told my request for two weeks couldn't happen and that even 1 week wasn't available, they needed me now!"
Intuit, Portfolio defense
Apple, What was your proudest moment?
Bosch, How well do you work with engineers?
Kohl's, When was there ever a time you went out of your way to help someone at work?
Euclid," The design exercise is more like a design project. while they keep telling you not to spend more than 8 hours on it, they evaluate it like you should have spent 40 hours on it. While I sat through the 3rd interview all I could think about was them saying the week before ""don't spend too much time on this because we will know if it looks like you spent more than 8 hours"". They end the second interview with you leading a brainstorming session about the design exercise, which is a ping pong ""hookup"" app for internal office team (""think Grindr for office ping pong play"" - that's how it was put in context to me. wow now that's appropriate content for an interview....) I was a definite finalist, and as usual it probably came down to splitting hairs at the end to decide on the candidate, but their process was not what I expected. I can understand pivotal meeting me and using the time to discuss the hand off of the style guide to the new in house designer and exit strategy details but this was like no other process I have ever experienced in 15 years of designing user experiences. Had I known Pivotal would be conducting all the interviewing I would not have perused this role. I wanted to work for Euclid, not Pivotal. The process of Pivotal running the entire interview process makes you feel detached from the actual team you will be working with allowing a third party that will be completely removed from any consequences of their decision not to mention its in their best interest to keep the process going as long as they can. Also, any issues that come up after a designer is hired, Pivotal will be called in once again to ""fix"" or assist in getting things ""back on track"". This was just too full of conflicts of interest for it to be objective let alone fair. I had a fair amount of respect for Pivotal Labs prior to this experience but after seeing the quality of some of their consultants I would look to another consulting firm if I needed outside UX consulting. Their questions sometimes lacked logic and completely contradicted the parameters they had set forth for the exercise a mere 4 days earlier. One examples what during Int#2 after i had brainstormed about the process of the app and how i would go about it, they then said ok, don't complicate this, keep this simple, your on the right track. Then during Int#3, they start critiquing it because it does not have enough features and too simple!?!? Or ""seems like you could have added some more ways of communication to potential ping pong players...."" I was like uhhh well ...sure i could have but just last week you said not to do that"". I think a decision had been made before I even went into interview 3. They critique was so scattered and subjective.the ultimate contradiction ""Do that. Don't do that"". My solution was solid and provided much more non-intrusive communication between ping pong players at work. Never mind the fact that your at work, should you really be playing ping pong? It seemed like whatever i did I wasn't going to win the ""Pivots"" over and that's sad because the actual team I would be working with I liked a lot and had very good connections and face time whit them as limited as that was during this process."
NVIDIA," mostly my work history and portfolio, would be happy to work within team"
DigitalRiver, What kind of process methodologies have you worked with?
KiewitCorporation, Our questions were about design and functionality.
PeopleMatter," Most unexpected question had to do with how designers and developers sometimes do not get along, and how would I handle working with developers who have their own opinions."
